Replicate	Day	Count	Method
BR1	0	300000	siRNA 6688
BR1	0	300000	siRNA 6689
BR1	0	300000	Negative Control
BR1	1	147000	siRNA 6688
BR1	1	169000	siRNA 6689
BR1	1	204000	Negative Control
BR1	2	112500	siRNA 6688
BR1	2	127500	siRNA 6689
BR1	2	144000	Negative Control
BR1	3	162000	siRNA 6688
BR1	3	167000	siRNA 6689
BR1	3	261000	Negative Control
BR1	4	150000	siRNA 6688
BR1	4	177000	siRNA 6689
BR1	4	450000	Negative Control
BR1	5	144000	siRNA 6688
BR1	5	175000	siRNA 6689
BR1	5	540000	Negative Control
BR2	0	300000	siRNA 6688
BR2	0	300000	siRNA 6689
BR2	0	300000	Negative Control
BR2	1	135000	siRNA 6688
BR2	1	167000	siRNA 6689
BR2	1	216000	Negative Control
BR2	2	120000	siRNA 6688
BR2	2	129000	siRNA 6689
BR2	2	177000	Negative Control
BR2	3	153000	siRNA 6688
BR2	3	160000	siRNA 6689
BR2	3	255000	Negative Control
BR2	4	160000	siRNA 6688
BR2	4	176500	siRNA 6689
BR2	4	435000	Negative Control
BR2	5	150000	siRNA 6688
BR2	5	177500	siRNA 6689
BR2	5	630000	Negative Control
BR3	0	300000	siRNA 6688
BR3	0	300000	siRNA 6689
BR3	0	300000	Negative Control
BR3	1	147000	siRNA 6688
BR3	1	156000	siRNA 6689
BR3	1	165000	Negative Control
BR3	2	79500	siRNA 6688
BR3	2	108000	siRNA 6689
BR3	2	141000	Negative Control
BR3	3	111000	siRNA 6688
BR3	3	132000	siRNA 6689
BR3	3	247500	Negative Control
BR3	4	135000	siRNA 6688
BR3	4	168500	siRNA 6689
BR3	4	435000	Negative Control
BR3	5	141000	siRNA 6688
BR3	5	172000	siRNA 6689
BR3	5	585000	Negative Control
