ensembl_gene_id	hgnc_symbol	chromosome_name	start_position	end_position	band
ENSG00000210049	MT-TF	MT	577	647	
ENSG00000211459	MT-RNR1	MT	648	1601	
ENSG00000210077	MT-TV	MT	1602	1670	
ENSG00000210082	MT-RNR2	MT	1671	3229	
ENSG00000209082	MT-TL1	MT	3230	3304	
ENSG00000198888	MT-ND1	MT	3307	4262	
ENSG00000210100	MT-TI	MT	4263	4331	
ENSG00000210107	MT-TQ	MT	4329	4400	
ENSG00000210112	MT-TM	MT	4402	4469	
ENSG00000198763	MT-ND2	MT	4470	5511	
ENSG00000210117	MT-TW	MT	5512	5579	
ENSG00000210127	MT-TA	MT	5587	5655	
ENSG00000210135	MT-TN	MT	5657	5729	
ENSG00000210140	MT-TC	MT	5761	5826	
ENSG00000210144	MT-TY	MT	5826	5891	
ENSG00000198804	MT-CO1	MT	5904	7445	
ENSG00000210151	MT-TS1	MT	7446	7514	
ENSG00000210154	MT-TD	MT	7518	7585	
ENSG00000198712	MT-CO2	MT	7586	8269	
ENSG00000210156	MT-TK	MT	8295	8364	
ENSG00000228253	MT-ATP8	MT	8366	8572	
ENSG00000198899	MT-ATP6	MT	8527	9207	
ENSG00000198938	MT-CO3	MT	9207	9990	
ENSG00000210164	MT-TG	MT	9991	10058	
ENSG00000198840	MT-ND3	MT	10059	10404	
ENSG00000210174	MT-TR	MT	10405	10469	
ENSG00000212907	MT-ND4L	MT	10470	10766	
ENSG00000198886	MT-ND4	MT	10760	12137	
ENSG00000210176	MT-TH	MT	12138	12206	
ENSG00000210184	MT-TS2	MT	12207	12265	
ENSG00000210191	MT-TL2	MT	12266	12336	
ENSG00000198786	MT-ND5	MT	12337	14148	
ENSG00000198695	MT-ND6	MT	14149	14673	
ENSG00000210194	MT-TE	MT	14674	14742	
ENSG00000198727	MT-CYB	MT	14747	15887	
ENSG00000210195	MT-TT	MT	15888	15953	
ENSG00000210196	MT-TP	MT	15956	16023	
ENSG00000236511	LINC01231	9	3181589	3198517	p24.2
ENSG00000263862	LINC01543	18	26422995	26426101	q11.2
ENSG00000250020		5	58198	58915	p15.33
ENSG00000264311	CCDC58P1	18	10623876	10624305	p11.22
ENSG00000254546		11	18196657	18197337	p15.1
ENSG00000271623		16	28364700	28365333	p12.1
ENSG00000236204	LINC01376	2	18986451	19346748	p24.1
ENSG00000254825	OR9G2P	11	56751023	56751902	q12.1
ENSG00000249100		5	82765404	82766333	q14.2
ENSG00000261475	LINC02190	16	31549143	31553567	p11.2
ENSG00000268834	OR7A1P	19	14891737	14897845	p13.12
ENSG00000265043		17	21456513	21460215	p11.2
ENSG00000271284	SMIM12P1	2	108423612	108423885	q12.3
ENSG00000147894	C9orf72	9	27546545	27573866	p21.2
ENSG00000228184	SNX19P1	21	13525599	13528579	q11.2
ENSG00000228169	PPIAP19	10	114690143	114690634	q25.3
ENSG00000270779		5	110908284	110908713	q22.1
ENSG00000219302		6	129819637	129820170	q22.33
ENSG00000125997	BPIFB9P	20	33347720	33354444	q11.21
ENSG00000254275	LINC00824	8	128405269	128564679	q24.21
ENSG00000264070	DND1P1	17	45585871	45586929	q21.31
ENSG00000255002	LINC02324	14	65212893	65222347	q23.3
ENSG00000198960	ARMCX6	X	101615118	101618001	q22.1
ENSG00000270419	CAHM	6	163413065	163413960	q26
ENSG00000258440		14	52155740	52156179	q22.1
ENSG00000113583	C5orf15	5	133955502	133968787	q31.1
ENSG00000170369	CST2	20	23823769	23826731	p11.21
ENSG00000281995		CHR_HSCHR18_3_CTG2_1	79610642	79612198	
ENSG00000259156	CHEK2P2	15	20282744	20291586	q11.1
ENSG00000172967	XKR3	22	16783412	16821699	q11.1
ENSG00000204576	PRR3	6	30556886	30563723	p21.33
ENSG00000234954	MAS1L	CHR_HSCHR6_MHC_APD_CTG1	29486834	29487970	
ENSG00000264164		17	32083179	32097065	q11.2
ENSG00000169427	KCNK9	8	139600838	139703056	q24.3
ENSG00000169105	CHST14	15	40470998	40474571	q15.1
ENSG00000261338		2	218255319	218257366	q35
ENSG00000277377	SERPINA1	CHR_HSCHR14_7_CTG1	94378757	94392703	
ENSG00000102181	CD99L2	X	150766337	150898816	q28
ENSG00000165215	CLDN3	7	73768997	73770270	q11.23
ENSG00000228802		2	223965701	223967706	q36.1
ENSG00000251438		4	36311190	36392410	p14
ENSG00000152359	POC5	5	75674124	75717481	q13.3
ENSG00000225345	SNX18P3	9	38566260	38568211	p13.1
ENSG00000241104	CEACAMP10	19	43211791	43248646	q13.31
ENSG00000101079	NDRG3	20	36651766	36746078	q11.23
ENSG00000129351	ILF3	19	10654261	10692417	p13.2
ENSG00000229077	SLC44A4	CHR_HSCHR6_MHC_MCF_CTG1	31939669	31955518	
ENSG00000135900	MRPL44	2	223957404	223967714	q36.1
ENSG00000264023		17	21457434	21458989	p11.2
ENSG00000248966	BCLAF1P1	5	110948029	110950780	q22.1
ENSG00000181296	OR5G1P	11	56775261	56776206	q12.1
ENSG00000237487	VN1R48P	9	38504447	38505482	p13.1
ENSG00000197057	DTHD1	4	36281622	36345756	p14
ENSG00000228484		10	114764788	114779903	q25.3
ENSG00000266379		17	32088160	32094933	q11.2
ENSG00000264503		18	10622123	10622267	p11.22
ENSG00000260883	VN1R65P	16	31554105	31554912	p11.2
ENSG00000248669		4	4117925	4118284	p16.3
ENSG00000258878		14	65234515	65235101	q23.3
ENSG00000273036		9	38540567	38542792	p13.1
ENSG00000244582	RPL21P120	17	21504558	21505059	p11.2
ENSG00000254063	DUXAP2	8	101366417	101367005	q22.3
ENSG00000211867	TRAJ22	14	22522040	22522102	q11.2
ENSG00000266604	LINC01887	18	10612304	10626353	p11.22
ENSG00000196468	FGF16	X	77447405	77457278	q21.1
ENSG00000228224	NACAP1	8	101361794	101372707	q22.3
ENSG00000255485	OR5G4P	11	56790206	56790965	q12.1
ENSG00000265265		17	21519514	21521269	p11.2
ENSG00000267786		19	35947115	35959192	q13.12
ENSG00000248428		5	110970951	111008899	q22.1
ENSG00000203756	TMEM244	6	129831244	129861547	q22.33
ENSG00000211868	TRAJ21	14	22523600	22523654	q11.2
ENSG00000180071	ANKRD18A	9	38571358	38620660	p13.1
ENSG00000173976	RAX2	19	3769089	3772221	p13.3
ENSG00000215760	TAF9BP2	10	114809375	114811170	q25.3
ENSG00000267113		19	35957121	35957382	q13.12
ENSG00000278885		16	31566360	31567000	p11.2
ENSG00000253644		8	101387299	101393186	q22.3
ENSG00000179921	GPBAR1	2	218259496	218263859	q35
