peakID	Freq	FreqUnique	peakLEN	peakANNO	chr	start	end	MutSamples	MutSamplesunique	peakMUTr	pbin	pbin.adj	neglog10qval
chr14:38060525-38062477	7	7	1952	FOXA1	chr14	38060525	38062477	Baca_05-620_T_wgs,Baca_07-5318_T_wgs,CPCG0003-F1,CPCG0063-F1,CPCG0098-F1,CPCG0128-F1,CPCG0208-F1	Baca_05-620_T_wgs,Baca_07-5318_T_wgs,CPCG0003-F1,CPCG0063-F1,CPCG0098-F1,CPCG0128-F1,CPCG0208-F1	0.00358606557377049	8.54975288237248e-16	4.59549217427521e-12	11.3376679691255
chr18:76626158-76626434	3	3	276	DistalRE	chr18	76626158	76626434	CPCG0154-F1,CPCG0158-F1,CPCG0368-F1	CPCG0154-F1,CPCG0158-F1,CPCG0368-F1	0.0108695652173913	6.97822419510877e-10	1.87539775243548e-06	5.72690660880654
chr7:72136416-72136598	3	3	182	AC091738.2	chr7	72136416	72136598	CPCG0236-F1,CPCG0260-F1,CPCG0388-F1	CPCG0236-F1,CPCG0260-F1,CPCG0388-F1	0.0164835164835165	1.49105944702961e-09	2.67148150926139e-06	5.57324782745283
chrX:70349050-70349380	3	3	330	MED12	chrX	70349050	70349380	CPCG0128-F1,CPCG0217-F1,CPCG0269-F1	CPCG0128-F1,CPCG0217-F1,CPCG0269-F1	0.00909090909090909	3.17697187255408e-09	4.26905595374454e-06	5.3696681529395
chr1:16971021-16971477	3	3	456	DistalRE	chr1	16971021	16971477	CPCG0050-F1,CPCG0083-F1,TCGA_5789_T1_wgs	CPCG0050-F1,CPCG0083-F1,TCGA_5789_T1_wgs	0.00657894736842105	6.70852752630966e-09	6.80329104332051e-06	5.16728094961794
chr9:129435971-129436360	3	3	389	DistalRE	chr9	129435971	129436360	CPCG0047-F1,CPCG0387-F1,TCGA_5750_T1_wgs	CPCG0047-F1,CPCG0387-F1,TCGA_5750_T1_wgs	0.0077120822622108	7.59437139719499e-09	6.80329104332051e-06	5.16728094961794
chr11:113568557-113568826	2	2	269	DistalRE	chr11	113568557	113568826	CPCG0022-F1,CPCG0046-F1	CPCG0022-F1,CPCG0046-F1	0.00743494423791822	1.42238911022254e-08	1.09219163820659e-05	4.96170115273605
chr7:7154351-7155112	3	3	761	DistalRE	chr7	7154351	7155112	Baca_03-1426_T_wgs,Baca_09-146_T_wgs,CPCG0265-F1	Baca_03-1426_T_wgs,Baca_09-146_T_wgs,CPCG0265-F1	0.00394218134034166	2.19298457005962e-08	1.47341150800881e-05	4.83167594243199
chr8:1806750-1807756	3	3	1006	ARHGEF10	chr8	1806750	1807756	CPCG0368-F1,CPCG0378-F1,TCGA_7522_T1_wgs	CPCG0368-F1,CPCG0378-F1,TCGA_7522_T1_wgs	0.00298210735586481	3.84989452077299e-08	2.2992425610172e-05	4.63841520995975
chr2:16842686-16843216	3	3	530	DistalRE	chr2	16842686	16843216	Berger_3043_T_wgs,CPCG0098-F1,CPCG0232-F1	Berger_3043_T_wgs,CPCG0098-F1,CPCG0232-F1	0.00566037735849057	4.67738168953931e-08	2.51409265812738e-05	4.59961872021734
