affy_hg_u133_plus_2	hgnc_symbol	chromosome_name	start_position	end_position	band
	MT-TF	MT	577	647	
	MT-RNR1	MT	648	1601	
	MT-TV	MT	1602	1670	
	MT-RNR2	MT	1671	3229	
	MT-TL1	MT	3230	3304	
1553551_s_at	MT-ND1	MT	3307	4262	
1553551_s_at	MT-TI	MT	4263	4331	
	MT-TQ	MT	4329	4400	
1553551_s_at	MT-TM	MT	4402	4469	
1553551_s_at	MT-ND2	MT	4470	5511	
	MT-TW	MT	5512	5579	
	MT-TA	MT	5587	5655	
	MT-TN	MT	5657	5729	
	MT-TC	MT	5761	5826	
	MT-TY	MT	5826	5891	
1553538_s_at	MT-CO1	MT	5904	7445	
1553569_at	MT-CO1	MT	5904	7445	
1553570_x_at	MT-CO1	MT	5904	7445	
	MT-TS1	MT	7446	7514	
1553569_at	MT-TD	MT	7518	7585	
1553570_x_at	MT-TD	MT	7518	7585	
1553567_s_at	MT-CO2	MT	7586	8269	
1553569_at	MT-CO2	MT	7586	8269	
1553570_x_at	MT-CO2	MT	7586	8269	
1553567_s_at	MT-TK	MT	8295	8364	
1553567_s_at	MT-ATP8	MT	8366	8572	
1553567_s_at	MT-ATP6	MT	8527	9207	
1553588_at	MT-CO3	MT	9207	9990	
1553588_at	MT-TG	MT	9991	10058	
1553588_at	MT-ND3	MT	10059	10404	
1553588_at	MT-TR	MT	10405	10469	
224372_at	MT-ND4L	MT	10470	10766	
224373_s_at	MT-ND4L	MT	10470	10766	
1553588_at	MT-ND4L	MT	10470	10766	
224372_at	MT-ND4	MT	10760	12137	
224373_s_at	MT-ND4	MT	10760	12137	
	MT-TH	MT	12138	12206	
	MT-TS2	MT	12207	12265	
	MT-TL2	MT	12266	12336	
211600_at	MT-ND5	MT	12337	14148	
1555653_at	MT-ND5	MT	12337	14148	
1553575_at	MT-ND6	MT	14149	14673	
1553575_at	MT-TE	MT	14674	14742	
	MT-CYB	MT	14747	15887	
	MT-TT	MT	15888	15953	
	MT-TP	MT	15956	16023	
1562861_at	LINC01231	9	3181589	3198517	p24.2
	LINC01543	18	26422995	26426101	q11.2
		5	58198	58915	p15.33
	CCDC58P1	18	10623876	10624305	p11.22
		11	18196657	18197337	p15.1
		16	28364700	28365333	p12.1
	LINC01376	2	18986451	19346748	p24.1
	OR9G2P	11	56751023	56751902	q12.1
		5	82765404	82766333	q14.2
	LINC02190	16	31549143	31553567	p11.2
	OR7A1P	19	14891737	14897845	p13.12
		17	21456513	21460215	p11.2
	SMIM12P1	2	108423612	108423885	q12.3
225919_s_at	C9orf72	9	27546545	27573866	p21.2
	C9orf72	9	27546545	27573866	p21.2
1553133_at	C9orf72	9	27546545	27573866	p21.2
1553134_s_at	C9orf72	9	27546545	27573866	p21.2
	SNX19P1	21	13525599	13528579	q11.2
	PPIAP19	10	114690143	114690634	q25.3
		5	110908284	110908713	q22.1
		6	129819637	129820170	q22.33
234507_at	BPIFB9P	20	33347720	33354444	q11.21
	BPIFB9P	20	33347720	33354444	q11.21
1569911_at	LINC00824	8	128405269	128564679	q24.21
	LINC00824	8	128405269	128564679	q24.21
1555580_at	LINC00824	8	128405269	128564679	q24.21
57739_at	DND1P1	17	45585871	45586929	q21.31
	LINC02324	14	65212893	65222347	q23.3
214749_s_at	ARMCX6	X	101615118	101618001	q22.1
	ARMCX6	X	101615118	101618001	q22.1
235829_at	CAHM	6	163413065	163413960	q26
		14	52155740	52156179	q22.1
203024_s_at	C5orf15	5	133955502	133968787	q31.1
	C5orf15	5	133955502	133968787	q31.1
208555_x_at	CST2	20	23823769	23826731	p11.21
		CHR_HSCHR18_3_CTG2_1	79610642	79612198	
	CHEK2P2	15	20282744	20291586	q11.1
	XKR3	22	16783412	16821699	q11.1
204795_at	PRR3	6	30556886	30563723	p21.33
