peakID	Freq	FreqUnique	peakLEN	peakANNO	chr	start	end	MutSamples	MutSamplesunique	peakMUTr	pbin	pbin.adj	neglog10qval
chr14:38060525-38062477	7	7	1952	DistalRE	chr14	38060525	38062477	Baca_05-620_T_wgs,Baca_07-5318_T_wgs,CPCG0003-F1,CPCG0063-F1,CPCG0098-F1,CPCG0128-F1,CPCG0208-F1	Baca_05-620_T_wgs,Baca_07-5318_T_wgs,CPCG0003-F1,CPCG0063-F1,CPCG0098-F1,CPCG0128-F1,CPCG0208-F1	0.00358606557377049	1.03728272207474e-23	1.3023395760465e-18	17.8852757617165
chr18:76626158-76626434	3	3	276	DistalRE	chr18	76626158	76626434	CPCG0154-F1,CPCG0158-F1,CPCG0368-F1	CPCG0154-F1,CPCG0158-F1,CPCG0368-F1	0.0108695652173913	2.80570081895304e-13	1.76132077461005e-08	7.75416154241059
chr7:72136416-72136598	3	3	182	DistalRE	chr7	72136416	72136598	CPCG0236-F1,CPCG0260-F1,CPCG0388-F1	CPCG0236-F1,CPCG0260-F1,CPCG0388-F1	0.0164835164835165	5.99691887313246e-13	2.50977051759467e-08	7.60036598668572
chrX:70349050-70349380	3	3	330	DistalRE	chrX	70349050	70349380	CPCG0128-F1,CPCG0217-F1,CPCG0269-F1	CPCG0128-F1,CPCG0217-F1,CPCG0269-F1	0.00909090909090909	1.27828709277498e-12	4.01231948397941e-08	7.39660449324755
chr1:16971021-16971477	3	3	456	DistalRE	chr1	16971021	16971477	CPCG0050-F1,CPCG0083-F1,TCGA_5789_T1_wgs	CPCG0050-F1,CPCG0083-F1,TCGA_5789_T1_wgs	0.00657894736842105	2.70066627499959e-12	6.22524295577778e-08	7.20584369446602
chr9:129435971-129436360	3	3	389	RP11-65J3.2	chr9	129435971	129436360	CPCG0047-F1,CPCG0387-F1,TCGA_5750_T1_wgs	CPCG0047-F1,CPCG0387-F1,TCGA_5750_T1_wgs	0.0077120822622108	2.97495541601289e-12	6.22524295577778e-08	7.20584369446602
chr7:7154351-7155112	3	3	761	C1GALT1	chr7	7154351	7155112	Baca_03-1426_T_wgs,Baca_09-146_T_wgs,CPCG0265-F1	Baca_03-1426_T_wgs,Baca_09-146_T_wgs,CPCG0265-F1	0.00394218134034166	8.83855544058988e-12	1.58529593033197e-07	6.79988965526716
chr8:1806750-1807756	3	3	1006	DistalRE	chr8	1806750	1807756	CPCG0368-F1,CPCG0378-F1,TCGA_7522_T1_wgs	CPCG0368-F1,CPCG0378-F1,TCGA_7522_T1_wgs	0.00298210735586481	1.55278855045335e-11	2.43696576093837e-07	6.61315057255512
chr2:16842686-16843216	3	3	530	DistalRE	chr2	16842686	16843216	Berger_3043_T_wgs,CPCG0098-F1,CPCG0232-F1	Berger_3043_T_wgs,CPCG0098-F1,CPCG0232-F1	0.00566037735849057	1.88706551953775e-11	2.63251930193915e-07	6.57962843583291
chr1:204475183-204476521	3	3	1338	DistalRE	chr1	204475183	204476521	Baca_07-5021_T_wgs,CPCG0357-F1,CPCG0375-F1	Baca_07-5021_T_wgs,CPCG0357-F1,CPCG0375-F1	0.00224215246636771	3.22324532129747e-11	3.78768800811648e-07	6.42162580103457
chr5:16894486-16895354	3	3	868	DistalRE	chr5	16894486	16895354	Baca_07-144_T_wgs,CPCG0341-F1,CPCG0407-F1	Baca_07-144_T_wgs,CPCG0341-F1,CPCG0407-F1	0.00345622119815668	3.31848447183909e-11	3.78768800811648e-07	6.42162580103457
chr9:84461869-84462780	3	3	911	DistalRE	chr9	84461869	84462780	Baca_07-144_T_wgs,CPCG0331-F1,CPCG0339-F1	Baca_07-144_T_wgs,CPCG0331-F1,CPCG0339-F1	0.00329308452250274	4.74526819783549e-11	4.96485548369033e-07	6.30409338836684
chr11:64145584-64146426	3	3	842	DistalRE	chr11	64145584	64146426	CPCG0099-F1,CPCG0248-F1,CPCG0265-F1	CPCG0099-F1,CPCG0248-F1,CPCG0265-F1	0.00356294536817102	6.83828745225419e-11	6.48149119952636e-07	6.18832506431136
chr5:158021287-158022386	3	3	1099	DistalRE	chr5	158021287	158022386	Baca_STID0000002682_T_wgs,CPCG0205-F1,CPCG0350-F1	Baca_STID0000002682_T_wgs,CPCG0205-F1,CPCG0350-F1	0.00272975432211101	7.5090684948387e-11	6.48149119952636e-07	6.18832506431136
chr11:113568557-113568826	2	2	269	DistalRE	chr11	113568557	113568826	CPCG0022-F1,CPCG0046-F1	CPCG0022-F1,CPCG0046-F1	0.00743494423791822	7.74353205362639e-11	6.48149119952636e-07	6.18832506431136
